ticker,date,sentiment,polarity,news_count,positive_count,negative_count,neutral_count
0700.HK,2026-03-13 00:00:00,positive,0.1185714285714285,10,4,1,5
0700.hk,2026-03-16,positive,0.1070224567099567,10,4,0,6
0700.hk,2026-03-17,positive,0.15035579004329,10,5,0,5
0700.HK,2026-03-18,positive,0.11829329004329,10,4,1,5
0700.HK,2026-03-19,neutral,0.0829955520669806,10,3,0,7
0700.HK,2026-03-20,positive,0.1025287226001511,10,5,1,4
0700.HK,2026-03-23,neutral,0.0875982042648709,10,5,2,3
0700.HK,2026-03-25,neutral,0.0696352413019079,10,4,2,4
0700.HK,2026-03-27,neutral,0.0848295454545454,10,4,0,6
0700.HK,2026-03-30,neutral,-0.007731060606060604,10,3,1,6
