date,trend
2025-12-13,57
2025-12-14,54
2025-12-15,81
2025-12-16,85
2025-12-17,82
2025-12-18,86
2025-12-19,88
2025-12-20,34
2025-12-21,52
2025-12-22,63
2025-12-23,90
2025-12-24,54
2025-12-25,93
2025-12-26,76
2025-12-27,65
2025-12-28,54
2025-12-29,68
2025-12-30,61
2025-12-31,77
2026-01-01,46
2026-01-02,51
2026-01-03,49
2026-01-04,70
2026-01-05,95
2026-01-06,43
2026-01-07,100
2026-01-08,58
2026-01-09,84
2026-01-10,60
2026-01-11,50
2026-01-12,84
2026-01-13,66
2026-01-14,77
2026-01-15,59
2026-01-16,52
2026-01-17,39
2026-01-18,85
2026-01-19,59
2026-01-20,77
2026-01-21,75
2026-01-22,80
2026-01-23,59
2026-01-24,32
2026-01-25,64
2026-01-26,63
2026-01-27,71
2026-01-28,70
2026-01-29,73
2026-01-30,66
2026-01-31,57
2026-02-01,44
2026-02-02,72
2026-02-03,85
2026-02-04,66
2026-02-05,71
2026-02-06,71
2026-02-07,56
2026-02-08,31
2026-02-09,55
2026-02-10,59
2026-02-11,53
2026-02-12,64
2026-02-13,72
2026-02-14,31
2026-02-15,0
2026-02-16,0
2026-02-17,0
2026-02-18,29
2026-02-19,0
2026-02-20,0
2026-02-21,0
2026-02-22,41
2026-02-23,31
2026-02-24,64
2026-02-25,36
2026-02-26,54
2026-02-27,58
2026-02-28,52
2026-03-01,38
2026-03-02,61
2026-03-03,58
2026-03-04,61
2026-03-05,56
2026-03-06,67
2026-03-07,50
2026-03-08,58
2026-03-09,94
2026-03-10,99
2026-03-11,85
2026-03-12,74
2026-03-13,80
